id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
144,Jakub,Moder,MID,BHA,0,?,"Moder (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
146,Jeremy,Sarmiento Morante,MID,BHA,0,?,"Sarmiento (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
147,Kjell,Scherpen,GKP,BHA,0,?,"Scherpen (GKP, ?)",0.0,0.0,0.0,5,0.0,-4,-inf,5,0.0,-inf,3,0.0,0,0,0,0,,?
149,Deniz,Undav,FWD,BHA,0,?,"Undav (FWD, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
155,Andi,Zeqiri,FWD,BHA,0,?,"Zeqiri (FWD, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
606,Igor Julio,dos Santos de Paulo,DEF,BHA,0,?,"Igor (DEF, ?)",0.0,0.0,0.0,5,0.0,-4,-inf,5,0.0,-inf,3,0.0,0,0,1,1,inf,^^^
621,Jack,Hinshelwood,MID,BHA,0,?,"Hinshelwood (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,2,0,2,inf,^^^
690,Carlos,Baleba,MID,BHA,0,?,"Baleba (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,1,1,1,3,inf,^^^
77,Norberto,Murara Neto,GKP,BOU,25,?,"Neto (GKP, ?)",5.0,4.3,4.767,-5,-1.0488777008600796,-1,-0.2097755401720159,-5,0.0,-0.6293266205160477,3,14.301,1,1,1,3,0.20978,vv
85,Dominic,Solanke,FWD,BOU,23,?,"Solanke (FWD, ?)",4.6,3.7,4.3,-5,-1.162790697674419,-1,0.0,-5,-1.162790697674419,-1.162790697674419,3,12.9,6,2,1,9,0.69767,~
64,David,Brooks,MID,BOU,13,?,"Brooks (MID, ?)",2.6,3.3,2.833,-5,-1.7649135192375571,-1,0.0,-5,-1.7649135192375571,-1.7649135192375571,3,8.499,0,0,1,1,0.11766,vv
70,Lloyd,Kelly,DEF,BOU,9,?,"Kelly (DEF, ?)",3.0,2.7,2.9,-5,-1.7241379310344829,-1,-0.3448275862068966,-5,0.0,-1.0344827586206895,3,8.7,1,0,0,1,0.11494,vv
89,Illia,Zabarnyi,DEF,BOU,11,?,"Zabarnyi (DEF, ?)",2.2,2.7,2.367,-5,-2.112378538234052,-1,-0.4224757076468103,-5,0.0,-1.267427122940431,3,7.101,0,0,1,1,0.14083,vv
86,Marcus,Tavernier,MID,BOU,7,?,"Tavernier (MID, ?)",3.5,2.3,3.1,-5,-1.6129032258064515,-1,0.0,-5,-1.6129032258064515,-1.6129032258064515,3,9.3,2,1,2,5,0.53763,v
63,Philip,Billing,MID,BOU,11,?,"Billing (MID, ?)",2.2,2.3,2.233,-5,-2.239140170174653,-1,0.0,-5,-2.239140170174653,-2.239140170174653,3,6.699,2,2,2,6,0.89566,~
595,Milos,Kerkez,DEF,BOU,10,?,"Kerkez (DEF, ?)",2.0,2.3,2.1,-5,-2.380952380952381,-1,-0.4761904761904761,-5,0.0,-1.4285714285714286,3,6.3,-1,1,1,1,0.15873,vv
643,Max,Aarons,DEF,BOU,10,?,"Aarons (DEF, ?)",2.0,2.3,2.1,-5,-2.380952380952381,-1,-0.4761904761904761,-5,0.0,-1.4285714285714286,3,6.3,1,0,1,2,0.31746,vv
65,Ryan,Christie,MID,BOU,10,?,"Christie (MID, ?)",2.0,2.0,2.0,-5,-2.5,-1,0.0,-5,-2.5,-2.5,3,6.0,5,2,1,8,1.33333,~
66,Lewis,Cook,MID,BOU,6,?,"L.Cook (MID, ?)",2.0,2.0,2.0,-5,-2.5,-1,0.0,-5,-2.5,-2.5,3,6.0,2,2,2,6,1.0,~
83,Marcos,Senesi,DEF,BOU,7,?,"Senesi (DEF, ?)",1.8,1.7,1.767,-5,-2.829654782116582,-1,-0.5659309564233164,-5,0.0,-1.697792869269949,3,5.301,0,0,1,1,0.18864,vv
72,Justin,Kluivert,MID,BOU,6,?,"Kluivert (MID, ?)",1.2,1.3,1.233,-5,-4.0551500405515,-1,0.0,-5,-4.0551500405515,-4.0551500405515,3,3.699,2,1,0,3,0.81103,~
82,Antoine,Semenyo,FWD,BOU,13,?,"Semenyo (FWD, ?)",3.2,1.0,2.467,-5,-2.026753141467369,-1,0.0,-5,-2.026753141467369,-2.026753141467369,3,7.401,1,1,0,2,0.27023,vv
78,Dango,Ouattara,MID,BOU,3,?,"O.Dango (MID, ?)",3.0,1.0,2.333,-5,-2.143163309044149,-1,0.0,-5,-2.143163309044149,-2.143163309044149,3,6.999,1,1,1,3,0.42863,v
705,Luis,Sinisterra,MID,BOU,1,?,"Sinisterra (MID, ?)",1.0,1.0,1.0,-5,-5.0,-1,0.0,-5,-5.0,-5.0,3,3.0,0,1,1,2,0.66667,~
81,Joe,Rothwell,MID,BOU,5,?,"Rothwell (MID, ?)",1.7,0.3,1.233,-5,-4.0551500405515,-1,0.0,-5,-4.0551500405515,-4.0551500405515,3,3.699,0,1,1,2,0.54069,v
62,Jaidon,Anthony,MID,BOU,3,?,"Anthony (MID, ?)",1.0,0.3,0.767,-5,-6.51890482398957,-1,0.0,-5,-6.51890482398957,-6.51890482398957,3,2.301,0,0,0,0,0.0,vv
76,Kieffer,Moore,FWD,BOU,3,?,"Moore (FWD, ?)",1.0,0.3,0.767,-5,-6.51890482398957,-1,0.0,-5,-6.51890482398957,-6.51890482398957,3,2.301,0,0,1,1,0.43459,v
87,Hamed,Traorè,MID,BOU,2,?,"Hamed Traorè (MID, ?)",1.0,0.3,0.767,-5,-6.51890482398957,-1,0.0,-5,-6.51890482398957,-6.51890482398957,3,2.301,1,0,0,1,0.43459,v
75,Chris,Mepham,DEF,BOU,1,?,"Mepham (DEF, ?)",0.5,0.3,0.433,-5,-11.547344110854503,-1,-2.3094688221709005,-5,0.0,-6.928406466512702,3,1.299,0,0,0,0,0.0,vv
69,James,Hill,DEF,BOU,1,?,"Hill (DEF, ?)",1.0,0.0,0.0,-5,-inf,-1,-inf,-5,0.0,-inf,3,0.0,0,0,0,0,,?
67,Siriki,Dembélé,MID,BOU,0,?,"Siriki (MID, ?)",0.0,0.0,0.0,-5,-inf,-1,0.0,-5,-inf,-inf,3,0.0,0,0,0,0,,?
68,Ryan,Fredericks,DEF,BOU,0,?,"Fredericks (DEF, ?)",0.0,0.0,0.0,-5,-inf,-1,-inf,-5,0.0,-inf,3,0.0,0,0,0,0,,?
71,Gavin,Kilkenny,MID,BOU,0,?,"Kilkenny (MID, ?)",0.0,0.0,0.0,-5,-inf,-1,0.0,-5,-inf,-inf,3,0.0,0,0,0,0,,?
73,Jamal,Lowe,MID,BOU,0,?,"Lowe (MID, ?)",0.0,0.0,0.0,-5,-inf,-1,0.0,-5,-inf,-inf,3,0.0,0,0,0,0,,?
74,Emiliano,Marcondes,MID,BOU,0,?,"Marcondes (MID, ?)",0.0,0.0,0.0,-5,-inf,-1,0.0,-5,-inf,-inf,3,0.0,0,0,0,0,,?
79,Ben,Pearson,MID,BOU,0,?,"Pearson (MID, ?)",0.0,0.0,0.0,-5,-inf,-1,0.0,-5,-inf,-inf,3,0.0,0,0,0,0,,?
