id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
361,Dwight,Gayle,FWD,NEW,0,?,Gayle (FWD),0.0,0.0,0.0,2,0.0,0,0,0,,?
362,Paul,Dummett,DEF,NEW,0,?,Dummett (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
375,Jeff,Hendrick,MID,NEW,0,?,Hendrick (MID),0.0,0.0,0.0,2,0.0,0,0,0,,?
555,Harrison,Ashby,DEF,NEW,0,?,Ashby (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
626,Loris,Karius,GKP,NEW,0,?,Karius (GKP),0.0,0.0,0.0,2,0.0,0,0,0,,?
683,Garang,Kuol,MID,NEW,0,?,Kuol (MID),0.0,0.0,0.0,2,0.0,0,0,0,,?
741,Lewis,Miley,MID,NEW,0,?,Miley (MID),0.0,0.0,0.0,2,0.0,0,0,0,,?
585,Emmanuel,Dennis,FWD,NFO,36,?,Dennis (FWD),2.2,3.2,2.533,2,5.066,1,1,2,0.39479,v
394,Brennan,Johnson,FWD,NFO,105,?,Johnson (FWD),3.5,3.0,3.333,2,6.666,2,1,3,0.45005,v
703,Danilo,dos Santos de Oliveira,MID,NFO,10,?,Danilo (MID),1.7,2.0,1.8,2,3.6,2,2,4,1.11111,~
536,Orel,Mangala,MID,NFO,31,?,Mangala (MID),1.6,2.0,1.733,2,3.466,0,2,2,0.57703,v
493,Morgan,Gibbs-White,MID,NFO,97,?,Gibbs-White (MID),3.3,1.8,2.8,2,5.6,2,12,14,2.5,^^^
523,Harry,Toffolo,DEF,NFO,26,?,Toffolo (DEF),1.7,1.5,1.633,2,3.266,0,0,0,0.0,vv
729,Keylor,Navas,GKP,NFO,22,?,Navas (GKP),2.2,1.2,1.867,2,3.734,2,1,3,0.80343,~
507,Moussa,Niakhaté,DEF,NFO,12,?,Niakhaté (DEF),2.0,1.2,1.733,2,3.466,1,1,2,0.57703,v
582,Remo,Freuler,MID,NFO,50,?,Freuler (MID),1.9,1.2,1.667,2,3.334,2,2,4,1.19976,~
295,Neco,Williams,DEF,NFO,46,?,N.Williams (DEF),1.6,1.0,1.4,2,2.8,0,6,6,2.14286,^^^
