id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
72,Justin,Kluivert,MID,BOU,2,?,"Kluivert (MID, ?)",1.0,1.0,1.0,-8,-8.0,-9,0.0,-2,-2.0,-5.0,4,4.0,0,0,0,0,0,0,?
76,Kieffer,Moore,FWD,BOU,2,?,"Moore (FWD, ?)",1.0,1.0,1.0,-8,-8.0,-9,0.0,-2,-2.0,-5.0,4,4.0,0,0,0,0,0,0,?
83,Marcos,Senesi,DEF,BOU,2,?,"Senesi (DEF, ?)",1.0,1.0,1.0,-8,-8.0,-9,-9.0,-2,0.0,-8.5,4,4.0,0,0,0,0,0,0,?
69,James,Hill,DEF,BOU,1,?,"Hill (DEF, ?)",1.0,0.5,0.833,-8,-9.603841536614647,-9,-10.804321728691477,-2,0.0,-10.204081632653061,4,3.332,0,0,0,0,0,0,?
70,Lloyd,Kelly,DEF,BOU,1,?,"Kelly (DEF, ?)",1.0,0.5,0.833,-8,-9.603841536614647,-9,-10.804321728691477,-2,0.0,-10.204081632653061,4,3.332,0,0,0,0,0,0,?
87,Hamed,Traorè,MID,BOU,1,?,"Hamed Traorè (MID, ?)",1.0,0.5,0.833,-8,-9.603841536614647,-9,0.0,-2,-2.4009603841536618,-6.002400960384154,4,3.332,0,0,0,0,0,0,?
66,Lewis,Cook,MID,BOU,0,?,"L.Cook (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
67,Siriki,Dembélé,MID,BOU,0,?,"Siriki (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
68,Ryan,Fredericks,DEF,BOU,0,?,"Fredericks (DEF, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
71,Gavin,Kilkenny,MID,BOU,0,?,"Kilkenny (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
73,Jamal,Lowe,MID,BOU,0,?,"Lowe (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
74,Emiliano,Marcondes,MID,BOU,0,?,"Marcondes (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
75,Chris,Mepham,DEF,BOU,0,?,"Mepham (DEF, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
78,Dango,Ouattara,MID,BOU,0,?,"O.Dango (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
79,Ben,Pearson,MID,BOU,0,?,"Pearson (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
80,Darren,Randolph,GKP,BOU,0,?,"Randolph (GKP, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
84,Adam,Smith,DEF,BOU,0,?,"Smith (DEF, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
86,Marcus,Tavernier,MID,BOU,0,?,"Tavernier (MID, ?)",0.0,0.0,0.0,-8,-inf,-9,0.0,-2,-inf,-inf,4,0.0,0,0,0,0,0,0,?
88,Mark,Travers,GKP,BOU,0,?,"Travers (GKP, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
607,Ionuț,Radu,GKP,BOU,0,?,"Radu (GKP, ?)",0.0,0.0,0.0,-8,-inf,-9,-inf,-2,0.0,-inf,4,0.0,0,0,0,0,0,0,?
